step,Pong/train_loss,Pong/epsilon
1000,0.014773420058190823,0.99950104
2000,0.0004395178402774036,0.99851104
3000,0.014911643229424953,0.99752104
4000,0.029058892279863358,0.99653104
5000,0.0001379854220431298,0.99554104
1000,2.026184301939793e-05,0.99950104
step,Pong/train_loss,Pong/epsilon
1000,0.014773420058190823,0.99950104
step,Pong/train_loss,Pong/epsilon
1000,0.014773420058190823,0.99950104
2000,0.0004395178402774036,0.99851104
3000,0.014911643229424953,0.99752104
4000,0.029058892279863358,0.99653104
5000,0.0001379854220431298,0.99554104
1000,2.026184301939793e-05,0.99950104
step,Pong/train_loss,Pong/epsilon
1000,0.014773420058190823,0.99950104
2000,0.0004395178402774036,0.99851104
3000,0.014911643229424953,0.99752104
4000,0.029058892279863358,0.99653104
5000,0.0001379854220431298,0.99554104
1000,2.026184301939793e-05,0.99950104
2000,0.01534977275878191,0.99851104
2000,0.01534977275878191,0.99851104
3000,1.642924326006323e-05,0.99752104
4000,5.646018689731136e-05,0.99653104
5000,0.028760213404893875,0.99554104
1000,0.014076469466090202,0.99950104
2000,0.0009171417914330959,0.99851104
3000,0.0004271671350579709,0.99752104
4000,0.012734752148389816,0.99653104
5000,0.0011066857259720564,0.99554104
3000,1.642924326006323e-05,0.99752104
4000,5.646018689731136e-05,0.99653104
5000,0.028760213404893875,0.99554104
1000,0.014076469466090202,0.99950104
2000,0.0009171417914330959,0.99851104
3000,0.0004271671350579709,0.99752104
4000,0.012734752148389816,0.99653104
5000,0.0011066857259720564,0.99554104
step,Pong/train_loss,Pong/epsilon
1000,0.014773420058190823,0.99950104
2000,0.0004395178402774036,0.99851104
3000,0.014911643229424953,0.99752104
4000,0.029058892279863358,0.99653104
5000,0.0001379854220431298,0.99554104
1000,2.026184301939793e-05,0.99950104
2000,0.01534977275878191,0.99851104
3000,1.642924326006323e-05,0.99752104
4000,5.646018689731136e-05,0.99653104
5000,0.028760213404893875,0.99554104
1000,0.014076469466090202,0.99950104
2000,0.0009171417914330959,0.99851104
3000,0.0004271671350579709,0.99752104
4000,0.012734752148389816,0.99653104
5000,0.0011066857259720564,0.99554104
